timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735931226259,46,/moodle/lib/ajax/service-nologin.php-32,200,OK,Thread Group 1-1,text,true,,544,1852,3,3,https://cse.buet.ac.bd/moodle/lib/ajax/service-nologin.php?info=6-method-calls&cachekey=1731384351&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22cancel%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A1%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22closebuttontitle%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A2%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22loading%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A3%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22savechanges%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A4%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22showless%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core_form%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A5%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22showmore%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core_form%22%2C%22lang%22%3A%22en%22%7D%7D%5D,46,0,0
1735931226229,76,/-16,200,OK,Thread Group 1-2,text,true,,8001,588,3,3,https://cse.buet.ac.bd/,13,0,7
1735931226229,13,/-16-0,301,Moved Permanently,Thread Group 1-2,text,true,,571,294,3,3,http://cse.buet.ac.bd/,13,0,7
1735931226242,63,/-16-1,200,OK,Thread Group 1-2,text,true,,7430,294,3,3,https://cse.buet.ac.bd/,63,0,0
1735931226306,34,/moodle/login/index.php-33,200,OK,Thread Group 1-1,text,true,,6612,568,3,3,https://cse.buet.ac.bd/moodle/login/index.php,34,0,0
1735931226341,13,/moodle/lib/ajax/service-nologin.php-34,200,OK,Thread Group 1-1,text,true,,512,1737,3,3,https://cse.buet.ac.bd/moodle/lib/ajax/service-nologin.php?info=core_get_string%2Ccore_get_string%2Ccore_get_string%2Ccore_get_string%2Ccore_get_string&cachekey=1731384351&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22closebuttontitle%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A1%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22loading%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A2%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22savechanges%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A3%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22showless%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core_form%22%2C%22lang%22%3A%22en%22%7D%7D%2C%7B%22index%22%3A4%2C%22methodname%22%3A%22core_get_string%22%2C%22args%22%3A%7B%22stringid%22%3A%22showmore%22%2C%22stringparams%22%3A%5B%5D%2C%22component%22%3A%22core_form%22%2C%22lang%22%3A%22en%22%7D%7D%5D,13,0,0
1735931226355,58,/canonical.html-35,200,OK,Thread Group 1-1,text,true,,298,303,4,4,http://detectportal.firefox.com/canonical.html,58,0,0
1735931226306,132,/moodle/-15,200,OK,Thread Group 1-2,text,true,,12002,505,4,4,https://cse.buet.ac.bd/moodle/,131,0,0
1735931226414,32,/success.txt-37,200,OK,Thread Group 1-1,text,true,,216,320,4,4,http://detectportal.firefox.com/success.txt?ipv6,32,0,0
1735931226438,12,/moodle/theme/yui_combo.php-19,200,OK,Thread Group 1-2,text,true,,601,513,4,4,https://cse.buet.ac.bd/moodle/theme/yui_combo.php?rollup%2F3.17.2%2Fyui-moodlesimple-min.css,11,0,0
1735931226450,8,/moodle/lib/javascript.php/1731384351/lib/javascript-static.js-23,200,OK,Thread Group 1-2,text,true,,7351,476,4,4,https://cse.buet.ac.bd/moodle/lib/javascript.php/1731384351/lib/javascript-static.js,8,0,0
1735931226459,5,/moodle/theme/yui_combo.php-24,200,OK,Thread Group 1-2,text,true,,600,483,4,4,https://cse.buet.ac.bd/moodle/theme/yui_combo.php?rollup%2F3.17.2%2Fyui-moodlesimple-min.js,5,0,0
1735931226465,9,/moodle/lib/javascript.php/1731384351/lib/requirejs/require.min.js-22,200,OK,Thread Group 1-2,text,true,,7201,480,4,4,https://cse.buet.ac.bd/moodle/lib/javascript.php/1731384351/lib/requirejs/require.min.js,9,0,0
1735931226447,29,/success.txt-36,200,OK,Thread Group 1-1,text,true,,216,320,4,4,http://detectportal.firefox.com/success.txt?ipv4,29,0,0
1735931226243,303,/submit/firefox-desktop/dau-reporting/1/260da6e8-0eef-45a5-bfc0-80e2276679e7-8,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 303 milliseconds, but should not have lasted longer than 200 milliseconds.",827,2226,4,4,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/dau-reporting/1/260da6e8-0eef-45a5-bfc0-80e2276679e7,303,0,0
1735931226474,72,/moodle/lib/javascript.php/1731384351/lib/polyfills/polyfill.js-21,200,OK,Thread Group 1-2,text,true,,61045,477,4,4,https://cse.buet.ac.bd/moodle/lib/javascript.php/1731384351/lib/polyfills/polyfill.js,31,0,0
1735931226477,84,/moodle/login/index.php-38,200,OK,Thread Group 1-1,text,true,,8617,1446,4,4,https://cse.buet.ac.bd/moodle/login/index.php,57,0,0
1735931226477,57,/moodle/login/index.php-38-0,303,See Other,Thread Group 1-1,text,true,,1933,782,4,4,https://cse.buet.ac.bd/moodle/login/index.php,57,0,0
1735931226534,27,/moodle/login/index.php-38-1,200,OK,Thread Group 1-1,text,true,,6684,664,4,4,https://cse.buet.ac.bd/moodle/login/index.php,27,0,0
1735931226562,6,/moodle/theme/image.php/classic/assign/1731384351/monologo-42,200,OK,Thread Group 1-1,text,true,,1113,558,4,4,https://cse.buet.ac.bd/moodle/theme/image.php/classic/assign/1731384351/monologo,5,0,0
1735931226568,8,/moodle/theme/image.php/classic/block_timeline/1731384351/activities-41,200,OK,Thread Group 1-1,text,true,,1162,568,4,4,https://cse.buet.ac.bd/moodle/theme/image.php/classic/block_timeline/1731384351/activities,8,0,0
1735931226398,188,Moodle,200,OK,Thread Group 1-4,text,true,,85013,126,4,4,https://cse.buet.ac.bd/moodle/,106,0,36
1735931226577,16,/moodle/pluginfile.php/3176/user/icon/classic/f2-43,200,OK,Thread Group 1-1,bin,true,,2272,558,4,4,https://cse.buet.ac.bd/moodle/pluginfile.php/3176/user/icon/classic/f2?rev=33833,16,0,0
